address|balance
0xd942de4784f7a48716c0fd4b9d54a6e54c5f2f3e|20000.0
0xdcfff3e8d23c2a34b56bd1b3bd45c79374432239|1300.1914696267131
0xb11fa7fb270abcdf5a2eab95aa30c4b53636efbf|475.985636
0x6ed884459f809dfa1016e770edaf3e9fef46fa30|3400.17
0xc5b009baeaf788a276bd35813ad65b400b849f3b|1000.0
0x6b17598a8ef54f797ae515ccb6517d1859bf8011|350.027264
0xf25e4c70bc465632c89e5625a832a7722f6bffab|4598.3236940922825
0x68419c6dd2d3ce6fcbb3c73e2fa079f06051bde6|1970.0
0x5b736eb18353629bde9676dadd165034ce5ecc68|1970.0
0xcc2b5f448f3528d3fe41cc7d1fa9c0dc76f1b776|11.6774809
0xa3883a24f7f166205f1a6a9949076c26a76e7178|1830.0
0xbcdfacb9d9023c3417182e9100e8ea1d373393a3|59.1
0x6006e36d929bf45d8f16231b126a011ae283d925|10.22004384
0x6e60aee1a78f8eda8b424c73e353354ae67c3042|1250.051844104
0xab5dfc1ea21adc42cf8c3f6e361e243fd0da61e5|300.0
0xfaaeba8fc0bbda553ca72e30ef3d732e26e82041|1338.337
0xe98c91cadd924c92579e11b41217b282956cdaa1|135.8
0x35f5860149e4bbc04b8ac5b272be55ad1aca58e0|200.0
0x63a61dc30a8e3b30a763c4213c801cbf98738178|132.996955
0xf23e5c633221a8f7363e65870c9f287424d2a960|968.99624483278
0xdbcbcd7a57ea9db2349b878af34b1ad642a7f1d1|200.0
0xdf3f57b8ee6434d047223def74b20f63f9e4f955|250.5
0x86e3fe86e93da486b14266eadf056cbfa4d91443|2000.0
0xa9af21acbe482f8131896a228036ba51b19453c3|49.999
0xd206aaddb336d45e7972e93cb075471d15897b5d|600.0
0x83dbf8a12853b40ac61996f8bf1dc8fdbaddd329|970.0
0xd9ec2efe99ff5cf00d03a8317b92a24aef441f7e|2000.0
0x456ae0aca48ebcfae166060250525f63965e760f|24.995443
0x416784af609630b070d49a8bcd12235c6428a408|144.8511748187933
0xd500e4d1c9824ba9f5b635cfa3a8c2c38bbd4ced|400.0
0xff3ded7a40d3aff0d7a8c45fa6136aa0433db457|1999.8
0xdb3f258ab2a3c2cf339c4499f75a4bd1d3472e9e|1500.0
0x5c6136e218de0a61a137b2b3962d2a6112b809d7|294.273
0xc5f687717246da8a200d20e5e9bcac60b67f3861|13.518968
0x76331e30796ce664b2700e0d4153700edc869777|2000.0
0xd49a75bb933fca1fca9aa1303a64b6cb44ea30e1|2171.941033384424
0xb7240af2af90b33c08ae9764103e35dce3638428|8464.547
0xe2efa5fca79538ce6068bf31d2c516d4d53c08e5|131.2
0xb4b185d943ee2b58631e33dff5af6854c17993ac|650.978475
0x1848003c25bfd4aa90e7fcb5d7b16bcd0cffc0d8|80.95009526033546
0x8b20ad3b94656dbdc0dd21a393d8a7d9e02138cb|299.99936511794095
0xff0e2fec304207467e1e3307f64cbf30af8fd9cd|2000.0
0xbc6b58364bf7f1951c309e0cba0595201cd73f9a|1812.4
0x381db4c8465df446a4ce15bf81d47e2f17c980bf|99.94935864097816
0x63c8dfde0b8e01dadc2e748c824cc0369df090b3|1402.9733006302447
0x28868324337e11ba106cb481da962f3a8453808d|2000.0
0x78634371e17304cbf339b1452a4ce438dc764cce|2000.99535
0x704ab1150d5e10f5e3499508f0bf70650f028d4b|4000.0
0x12f460ae646cd2780fd35c50a6af4b9accfa85c6|267.0705295729135
0xf504943aaf16796e0b341bbcdf21d11cc586cdd1|3500.97710598
0xa97beb3a48c45f1528284cb6a95f7de453358ec6|31000.0
0x5a9c8b69fc614d69564999b00dcb42db67f97e90|1370.5058062220053
0x69073269729e6414b26ec8dc0fd935c73b579f1e|30000.0
